state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
Oregon,No,3,University,Other,F,Rural,Married,P,O1,Branch,SUV,2,2
Arizona,No,1,Bachelor,Unemployed,M,Suburban,Single,P,O3,Call Center,Four-Door Car,2,3
Oregon,No,1,High School or Below,Employed,F,Suburban,Single,P,O4,Agent,Two-Door Car,2,2
California,No,2,Bachelor,Unemployed,F,Suburban,Married,C,O2,Call Center,Four-Door Car,2,2
Arizona,No,1,High School or Below,Unemployed,F,Suburban,Married,P,O4,Branch,Four-Door Car,2,2
Oregon,No,1,College,Employed,M,Suburban,Married,P,O1,Agent,SUV,1,2
California,Yes,1,Bachelor,Employed,F,Suburban,Divorced,C,O1,Web,SUV,2,1
Nevada,No,1,High School or Below,Employed,F,Rural,Married,S,O4,Branch,Four-Door Car,2,1
Washington,No,1,Bachelor,Employed,M,Suburban,Single,P,O4,Agent,Four-Door Car,2,3
California,No,3,Bachelor,Other,M,Suburban,Married,P,O1,Branch,Four-Door Car,1,2
Arizona,No,2,College,Employed,F,Suburban,Divorced,C,O3,Call Center,Four-Door Car,1,3
California,No,1,College,Employed,M,Urban,Married,S,O2,Branch,Four-Door Car,2,2
Arizona,No,1,High School or Below,Unemployed,F,Suburban,Married,P,O1,Call Center,SUV,1,2
Oregon,No,2,High School or Below,Other,F,Suburban,Divorced,P,O1,Call Center,SUV,2,3
Oregon,No,3,University,Other,F,Suburban,Divorced,P,O1,Agent,Four-Door Car,2,1
Arizona,Yes,1,Bachelor,Other,M,Suburban,Divorced,P,O1,Agent,Four-Door Car,2,1
California,No,3,Bachelor,Other,F,Suburban,Married,P,O1,Call Center,Two-Door Car,1,3
Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,P,O1,Agent,Two-Door Car,1,3
California,No,1,High School or Below,Employed,F,Rural,Married,P,O1,Agent,SUV,2,3
Arizona,No,1,Bachelor,Unemployed,F,Suburban,Single,P,O3,Branch,Four-Door Car,3,3
Washington,No,1,College,Employed,M,Suburban,Married,P,O3,Web,Four-Door Car,2,3
Oregon,No,1,College,Employed,F,Suburban,Divorced,C,O1,Agent,SUV,2,3
Arizona,No,2,High School or Below,Employed,F,Urban,Married,P,O4,Branch,Two-Door Car,1,3
Oregon,Yes,2,Bachelor,Unemployed,F,Suburban,Divorced,P,O1,Call Center,Two-Door Car,3,3
California,No,3,College,Other,F,Suburban,Married,P,O3,Web,Four-Door Car,2,3
Oregon,No,1,High School or Below,Employed,M,Rural,Divorced,P,O4,Agent,SUV,2,3
Oregon,No,1,University,Employed,M,Rural,Married,P,O2,Web,Two-Door Car,3,2
Oregon,No,1,University,Other,M,Suburban,Married,P,O1,Agent,Four-Door Car,2,1
Oregon,No,1,Bachelor,Unemployed,M,Suburban,Single,P,O1,Agent,Luxury,2,3
Oregon,Yes,1,Bachelor,Employed,M,Suburban,Divorced,P,O2,Branch,Two-Door Car,2,3
Oregon,No,1,Bachelor,Employed,M,Suburban,Married,P,O2,Branch,Four-Door Car,1,3
Oregon,No,1,High School or Below,Employed,F,Rural,Single,P,O2,Call Center,Four-Door Car,2,1
Nevada,No,1,College,Employed,M,Suburban,Married,P,O2,Agent,Four-Door Car,2,1
Washington,No,2,College,Employed,M,Rural,Married,P,O1,Agent,Four-Door Car,2,3
California,No,1,Bachelor,Employed,M,Rural,Single,P,O2,Branch,Luxury,1,3
California,No,2,College,Unemployed,F,Rural,Single,P,O3,Branch,Two-Door Car,3,3
California,Yes,1,High School or Below,Employed,M,Suburban,Single,P,O2,Call Center,Four-Door Car,2,3
California,No,1,University,Employed,M,Suburban,Married,P,O3,Branch,SUV,2,1
Nevada,No,1,University,Employed,M,Suburban,Married,P,O2,Call Center,Four-Door Car,3,3
Oregon,No,2,College,Other,F,Suburban,Single,P,O2,Agent,Four-Door Car,1,3
Washington,No,1,High School or Below,Employed,M,Suburban,Married,P,O1,Call Center,Four-Door Car,2,2
California,Yes,2,College,Other,M,Suburban,Married,P,O1,Agent,Four-Door Car,2,1
California,No,1,Bachelor,Employed,F,Urban,Married,C,O3,Web,Four-Door Car,2,2
Oregon,No,1,Bachelor,Employed,F,Suburban,Divorced,P,O3,Branch,Four-Door Car,2,2
California,Yes,2,College,Employed,M,Suburban,Married,P,O1,Branch,Four-Door Car,2,3
Oregon,No,3,College,Other,M,Suburban,Married,P,O2,Branch,Two-Door Car,1,3
Washington,Yes,2,Bachelor,Employed,F,Suburban,Married,C,O2,Call Center,Two-Door Car,2,3
Oregon,No,1,Bachelor,Employed,F,Rural,Married,C,O1,Agent,Four-Door Car,2,3
Oregon,No,1,Bachelor,Employed,M,Suburban,Married,C,O1,Branch,Two-Door Car,1,1
California,No,2,High School or Below,Unemployed,F,Suburban,Single,P,O1,Agent,Four-Door Car,2,2
Oregon,No,1,Bachelor,Employed,F,Suburban,Married,P,O1,Branch,Four-Door Car,3,3
Arizona,No,1,University,Other,F,Rural,Married,P,O1,Branch,SUV,2,3
California,No,1,Bachelor,Other,M,Suburban,Married,P,O1,Agent,Four-Door Car,2,2
Arizona,No,1,Bachelor,Employed,F,Urban,Married,P,O3,Web,Four-Door Car,2,1
Oregon,No,2,College,Employed,M,Suburban,Married,P,O1,Agent,Two-Door Car,1,2
California,Yes,1,College,Unemployed,F,Suburban,Married,P,O1,Agent,SUV,2,3
California,Yes,1,College,Unemployed,M,Suburban,Single,P,O1,Branch,Four-Door Car,2,1
Oregon,No,1,Bachelor,Employed,M,Rural,Single,C,O3,Call Center,Two-Door Car,2,3
California,Yes,3,College,Employed,M,Suburban,Married,P,O2,Branch,Four-Door Car,2,3
California,No,2,High School or Below,Unemployed,F,Suburban,Single,P,O1,Web,SUV,2,3
Oregon,No,2,Bachelor,Employed,F,Rural,Married,P,O1,Call Center,Four-Door Car,1,3
California,No,1,Bachelor,Employed,F,Rural,Married,P,O3,Branch,Four-Door Car,2,1
Oregon,No,1,High School or Below,Unemployed,M,Suburban,Married,P,O1,Agent,SUV,2,1
California,No,1,Bachelor,Employed,F,Rural,Married,P,O1,Agent,Two-Door Car,2,3
Oregon,No,1,College,Employed,M,Urban,Married,C,O4,Agent,Four-Door Car,2,1
California,No,2,College,Employed,M,Suburban,Married,P,O4,Agent,Four-Door Car,1,3
Washington,No,2,High School or Below,Employed,M,Suburban,Divorced,C,O2,Web,Four-Door Car,1,2
Arizona,No,1,College,Employed,M,Suburban,Married,P,O2,Branch,SUV,2,3
Oregon,No,1,Bachelor,Employed,M,Suburban,Single,P,O1,Agent,Four-Door Car,2,3
Washington,No,1,High School or Below,Employed,M,Suburban,Married,P,O4,Branch,Four-Door Car,2,2
California,No,1,High School or Below,Unemployed,M,Suburban,Married,C,O1,Agent,SUV,2,2
Oregon,Yes,2,High School or Below,Other,M,Suburban,Divorced,P,O2,Agent,SUV,2,3
Arizona,No,2,High School or Below,Employed,M,Suburban,Married,P,O2,Branch,Two-Door Car,2,3
California,No,1,Bachelor,Employed,F,Suburban,Single,P,O3,Agent,Two-Door Car,2,2
California,No,2,College,Employed,F,Urban,Married,C,O2,Call Center,Four-Door Car,2,2
Washington,No,2,College,Unemployed,M,Suburban,Married,P,O3,Web,Two-Door Car,2,2
California,No,1,Bachelor,Employed,M,Rural,Married,P,O1,Call Center,Luxury,2,3
Oregon,No,1,High School or Below,Employed,F,Suburban,Married,P,O3,Branch,Two-Door Car,1,3
California,No,1,High School or Below,Employed,M,Suburban,Single,P,O3,Web,Luxury,2,3
Nevada,No,1,Bachelor,Employed,F,Rural,Married,P,O1,Agent,Four-Door Car,2,3
Oregon,No,3,College,Employed,M,Suburban,Divorced,P,O1,Call Center,Four-Door Car,2,2
Oregon,No,2,University,Employed,F,Rural,Single,P,O2,Branch,Four-Door Car,2,3
Arizona,No,2,College,Employed,M,Urban,Married,S,O1,Branch,Four-Door Car,2,2
Oregon,Yes,1,College,Other,M,Suburban,Divorced,P,O2,Web,Four-Door Car,2,2
Washington,No,1,University,Unemployed,F,Rural,Married,P,O2,Agent,Four-Door Car,2,1
Arizona,No,1,High School or Below,Employed,M,Suburban,Married,P,O1,Agent,Luxury,2,3
Nevada,No,1,Bachelor,Employed,F,Rural,Married,S,O1,Branch,Four-Door Car,2,2
Oregon,No,1,Bachelor,Employed,F,Urban,Married,P,O1,Call Center,Four-Door Car,2,3
Arizona,No,3,College,Employed,M,Suburban,Married,P,O1,Agent,Four-Door Car,1,3
Arizona,No,1,High School or Below,Unemployed,F,Suburban,Single,C,O1,Web,Four-Door Car,1,2
Arizona,No,1,High School or Below,Unemployed,M,Suburban,Single,P,O1,Agent,SUV,2,3
Oregon,No,1,High School or Below,Employed,F,Rural,Married,S,O1,Branch,Luxury,2,2
Washington,No,1,College,Unemployed,F,Suburban,Single,P,O2,Agent,Four-Door Car,1,2
Oregon,No,2,College,Employed,F,Urban,Married,P,O4,Branch,Four-Door Car,2,3
Arizona,No,2,Bachelor,Employed,F,Urban,Single,S,O3,Branch,Four-Door Car,1,3
Oregon,No,1,College,Unemployed,M,Suburban,Single,P,O4,Web,Two-Door Car,3,1
Arizona,No,3,University,Employed,M,Urban,Married,P,O1,Call Center,SUV,2,2
California,No,2,High School or Below,Unemployed,F,Suburban,Single,P,O3,Branch,Luxury,2,2
Washington,No,3,High School or Below,Employed,M,Suburban,Married,C,O3,Agent,SUV,2,3
Oregon,Yes,2,High School or Below,Unemployed,F,Suburban,Married,P,O1,Agent,Four-Door Car,3,1
Nevada,No,2,Bachelor,Employed,M,Urban,Married,C,O4,Web,Four-Door Car,2,2
California,No,1,College,Unemployed,F,Suburban,Married,C,O1,Call Center,Four-Door Car,2,3
Arizona,No,1,Bachelor,Employed,F,Suburban,Divorced,C,O1,Call Center,Two-Door Car,2,2
Arizona,No,2,High School or Below,Employed,F,Rural,Married,P,O2,Web,Four-Door Car,2,3
Oregon,Yes,3,College,Unemployed,M,Suburban,Married,C,O1,Branch,Four-Door Car,3,2
Washington,No,1,Bachelor,Employed,M,Suburban,Single,P,O4,Branch,Four-Door Car,1,2
Washington,Yes,1,High School or Below,Employed,M,Rural,Married,P,O2,Agent,Luxury,2,3
Arizona,No,2,High School or Below,Other,M,Suburban,Married,P,O4,Agent,SUV,2,3
Arizona,No,2,Bachelor,Other,F,Rural,Married,P,O1,Branch,SUV,2,1
California,No,1,Bachelor,Employed,F,Urban,Single,P,O2,Branch,Four-Door Car,2,3
California,No,1,High School or Below,Employed,M,Suburban,Married,P,O2,Web,Four-Door Car,1,2
Oregon,No,2,College,Employed,M,Rural,Single,P,O3,Agent,Four-Door Car,2,2
Oregon,No,2,Bachelor,Employed,F,Suburban,Married,P,O2,Agent,Four-Door Car,1,2
Arizona,Yes,1,College,Other,M,Suburban,Married,P,O2,Agent,Luxury,2,3
Arizona,No,1,Bachelor,Employed,F,Rural,Married,P,O1,Web,Two-Door Car,3,2
California,No,1,High School or Below,Unemployed,M,Suburban,Married,C,O2,Agent,Two-Door Car,2,3
Washington,No,1,College,Employed,F,Urban,Married,P,O1,Agent,SUV,2,1
California,Yes,1,College,Unemployed,F,Suburban,Divorced,P,O1,Agent,SUV,2,3
Washington,Yes,1,Bachelor,Other,F,Suburban,Single,P,O1,Branch,Four-Door Car,2,1
California,No,2,Bachelor,Unemployed,M,Suburban,Single,P,O1,Agent,Four-Door Car,2,3
Oregon,No,1,University,Other,M,Suburban,Married,P,O1,Agent,Four-Door Car,1,3
California,No,1,Bachelor,Unemployed,F,Suburban,Single,P,O1,Agent,Four-Door Car,1,3
California,Yes,1,High School or Below,Unemployed,F,Suburban,Single,P,O1,Agent,Four-Door Car,1,1
Oregon,No,2,High School or Below,Employed,F,Urban,Divorced,P,O3,Agent,Four-Door Car,2,2
California,No,1,High School or Below,Unemployed,F,Suburban,Married,P,O1,Agent,Four-Door Car,2,2
California,No,1,College,Other,M,Suburban,Married,P,O4,Branch,Four-Door Car,2,1
Oregon,No,3,University,Other,F,Urban,Divorced,P,O2,Agent,Four-Door Car,2,3
Nevada,No,1,College,Employed,F,Rural,Divorced,P,O3,Agent,Four-Door Car,2,3
Nevada,No,1,College,Unemployed,F,Suburban,Married,P,O3,Agent,Four-Door Car,1,2
California,Yes,1,High School or Below,Employed,M,Suburban,Single,P,O2,Call Center,Four-Door Car,2,2
California,No,1,Bachelor,Employed,F,Rural,Married,P,O2,Call Center,Luxury,2,2
Washington,No,1,College,Employed,F,Rural,Married,P,O2,Agent,SUV,2,2
Arizona,No,1,Bachelor,Employed,F,Urban,Married,P,O2,Call Center,Two-Door Car,2,3
Washington,No,1,College,Unemployed,F,Suburban,Single,P,O3,Web,Two-Door Car,2,3
California,No,1,Bachelor,Employed,F,Suburban,Divorced,P,O2,Call Center,Luxury,1,2
California,No,3,Bachelor,Unemployed,F,Suburban,Married,P,O1,Agent,Four-Door Car,2,2
Nevada,No,2,Bachelor,Employed,F,Suburban,Married,P,O3,Branch,Luxury,2,3
Oregon,No,1,High School or Below,Employed,M,Suburban,Married,P,O2,Branch,Four-Door Car,3,2
Nevada,No,2,Bachelor,Employed,M,Suburban,Single,P,O4,Agent,Four-Door Car,1,2
California,No,1,Bachelor,Unemployed,M,Suburban,Single,P,O1,Agent,SUV,2,3
California,No,1,High School or Below,Employed,F,Suburban,Single,P,O3,Call Center,SUV,1,3
California,No,1,College,Employed,F,Suburban,Single,C,O2,Branch,SUV,2,3
Arizona,Yes,2,Bachelor,Employed,F,Suburban,Married,P,O2,Agent,SUV,2,1
California,No,2,Bachelor,Employed,F,Urban,Single,P,O3,Branch,Four-Door Car,2,1
Oregon,No,2,College,Employed,M,Urban,Married,P,O3,Branch,Four-Door Car,2,3
California,No,1,University,Employed,M,Urban,Married,S,O4,Web,SUV,2,2
California,No,1,High School or Below,Unemployed,F,Suburban,Single,S,O4,Branch,Two-Door Car,1,3
California,No,1,Bachelor,Employed,M,Suburban,Married,P,O2,Branch,Two-Door Car,2,3
Oregon,No,1,Bachelor,Employed,F,Suburban,Married,P,O4,Agent,Two-Door Car,1,2
Arizona,No,1,High School or Below,Unemployed,F,Suburban,Divorced,P,O1,Branch,Four-Door Car,1,2
Washington,No,2,Bachelor,Employed,F,Suburban,Married,P,O1,Agent,Four-Door Car,1,3
Oregon,No,3,High School or Below,Employed,M,Suburban,Single,C,O4,Web,Luxury,2,3
Oregon,No,1,Bachelor,Employed,M,Rural,Single,S,O1,Branch,Four-Door Car,2,3
Washington,No,2,High School or Below,Unemployed,F,Suburban,Single,P,O3,Branch,Two-Door Car,2,1
California,Yes,2,College,Employed,M,Suburban,Married,P,O1,Branch,Four-Door Car,2,1
California,No,3,University,Other,F,Suburban,Single,P,O1,Call Center,SUV,2,1
Nevada,Yes,2,Bachelor,Other,F,Suburban,Single,P,O1,Agent,SUV,2,3
Arizona,No,1,High School or Below,Employed,F,Suburban,Married,C,O2,Call Center,Four-Door Car,2,1
California,No,1,College,Unemployed,M,Suburban,Single,P,O1,Agent,SUV,2,2
California,No,1,High School or Below,Unemployed,M,Suburban,Single,P,O1,Call Center,Four-Door Car,2,2
California,No,1,College,Unemployed,M,Suburban,Single,P,O1,Agent,SUV,2,2
California,No,1,College,Employed,F,Urban,Married,P,O2,Branch,Four-Door Car,2,1
California,No,3,College,Employed,M,Suburban,Married,C,O1,Branch,SUV,1,2
Oregon,No,1,High School or Below,Employed,F,Suburban,Divorced,C,O2,Agent,SUV,2,3
Washington,No,2,Bachelor,Employed,F,Rural,Married,P,O3,Web,Four-Door Car,2,3
California,No,2,High School or Below,Employed,M,Suburban,Single,P,O2,Agent,Two-Door Car,1,3
California,Yes,1,College,Other,M,Suburban,Single,S,O1,Agent,Four-Door Car,2,3
Washington,No,2,College,Employed,M,Urban,Married,C,O2,Web,Two-Door Car,1,3
California,No,1,High School or Below,Employed,F,Urban,Single,S,O1,Agent,Four-Door Car,2,3
Arizona,No,1,College,Employed,M,Suburban,Divorced,P,O4,Agent,Four-Door Car,1,1
Oregon,No,2,College,Employed,F,Suburban,Married,C,O4,Call Center,Four-Door Car,3,1
Oregon,No,3,College,Employed,M,Urban,Married,C,O4,Agent,Luxury,1,3
Oregon,Yes,2,High School or Below,Other,F,Suburban,Married,S,O1,Agent,Two-Door Car,1,3
Washington,Yes,1,High School or Below,Unemployed,F,Suburban,Divorced,P,O1,Web,Luxury,2,3
California,No,1,College,Employed,M,Suburban,Married,P,O2,Branch,Four-Door Car,2,1
Oregon,No,1,Bachelor,Employed,F,Suburban,Married,P,O3,Branch,Four-Door Car,2,2
California,No,1,Bachelor,Employed,M,Suburban,Divorced,P,O1,Call Center,Four-Door Car,2,2
Nevada,No,1,High School or Below,Employed,M,Suburban,Divorced,P,O1,Call Center,Four-Door Car,1,1
Washington,Yes,2,High School or Below,Employed,M,Suburban,Single,P,O2,Branch,Two-Door Car,1,3
Oregon,No,1,College,Other,F,Suburban,Married,P,O2,Call Center,SUV,1,3
Oregon,No,2,College,Employed,F,Suburban,Married,P,O3,Branch,Four-Door Car,2,3
Nevada,No,1,College,Unemployed,M,Suburban,Single,P,O1,Branch,Two-Door Car,2,1
Nevada,Yes,1,High School or Below,Employed,F,Rural,Single,C,O2,Agent,Four-Door Car,2,3
Arizona,No,1,High School or Below,Employed,M,Urban,Married,C,O1,Agent,SUV,1,3
California,No,1,Bachelor,Other,M,Suburban,Married,C,O1,Agent,Four-Door Car,1,1
Arizona,Yes,1,Bachelor,Unemployed,F,Suburban,Married,C,O1,Call Center,Four-Door Car,2,1
Arizona,Yes,1,College,Employed,M,Urban,Single,P,O2,Agent,Two-Door Car,2,3
Arizona,No,2,High School or Below,Employed,M,Urban,Married,P,O1,Agent,Four-Door Car,2,2
Oregon,No,3,Bachelor,Unemployed,F,Suburban,Married,P,O1,Web,SUV,1,3
Arizona,No,1,High School or Below,Unemployed,M,Suburban,Married,P,O3,Call Center,Two-Door Car,2,3
California,No,1,Bachelor,Employed,M,Suburban,Married,P,O1,Branch,Two-Door Car,1,3
California,No,1,Bachelor,Employed,F,Rural,Married,P,O1,Web,Four-Door Car,3,2
Washington,No,2,College,Employed,M,Urban,Divorced,C,O2,Branch,SUV,3,1
Washington,No,1,College,Unemployed,M,Suburban,Single,P,O2,Agent,Four-Door Car,1,3
Washington,No,1,Bachelor,Employed,F,Suburban,Single,P,O2,Agent,Four-Door Car,1,3
Nevada,No,1,High School or Below,Employed,F,Suburban,Married,C,O2,Agent,Two-Door Car,1,3
Arizona,No,1,College,Employed,F,Rural,Married,P,O3,Agent,Four-Door Car,3,1
Oregon,No,1,College,Unemployed,F,Suburban,Divorced,C,O1,Branch,Four-Door Car,1,3
California,No,2,College,Employed,M,Suburban,Married,P,O2,Web,Two-Door Car,3,2
California,No,2,College,Unemployed,F,Suburban,Single,P,O1,Agent,Two-Door Car,2,1
California,No,2,Bachelor,Other,M,Suburban,Divorced,C,O3,Agent,Two-Door Car,2,2
Arizona,No,1,Bachelor,Employed,F,Suburban,Divorced,P,O4,Agent,Four-Door Car,2,1
Arizona,No,2,High School or Below,Unemployed,F,Suburban,Married,P,O4,Call Center,Four-Door Car,1,2
Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,C,O1,Branch,Luxury,2,3
California,No,1,University,Employed,M,Suburban,Married,P,O1,Call Center,Four-Door Car,2,2
Arizona,No,3,High School or Below,Other,F,Suburban,Divorced,P,O3,Web,Two-Door Car,2,3
Nevada,No,1,Bachelor,Employed,F,Suburban,Divorced,P,O1,Call Center,Two-Door Car,2,3
Arizona,No,1,University,Employed,M,Suburban,Single,P,O1,Call Center,SUV,2,3
Washington,Yes,1,College,Other,F,Suburban,Divorced,P,O1,Agent,SUV,1,3
Oregon,No,2,Bachelor,Employed,M,Urban,Married,P,O4,Call Center,Four-Door Car,3,3
Nevada,Yes,2,High School or Below,Other,M,Suburban,Divorced,P,O2,Agent,SUV,2,3
Oregon,No,2,Bachelor,Employed,F,Urban,Married,P,O1,Agent,SUV,2,3
California,No,1,University,Employed,F,Urban,Married,P,O2,Call Center,Two-Door Car,1,3
Washington,No,2,Bachelor,Employed,M,Suburban,Married,P,O3,Branch,Four-Door Car,2,3
Oregon,No,1,Bachelor,Employed,F,Rural,Divorced,C,O1,Agent,Four-Door Car,2,3
California,No,1,Bachelor,Unemployed,M,Suburban,Married,P,O1,Agent,Four-Door Car,1,1
California,No,1,College,Employed,F,Rural,Married,P,O1,Web,Four-Door Car,2,1
Arizona,No,1,College,Other,F,Suburban,Divorced,P,O1,Web,Four-Door Car,2,2
Arizona,No,1,High School or Below,Employed,M,Suburban,Married,P,O2,Agent,Four-Door Car,2,2
California,No,2,Bachelor,Employed,M,Suburban,Married,P,O1,Agent,Four-Door Car,1,1
Oregon,No,1,College,Other,M,Rural,Married,C,O1,Web,Four-Door Car,2,1
Arizona,No,2,University,Employed,F,Rural,Single,C,O2,Call Center,Four-Door Car,2,3
Arizona,No,1,Bachelor,Employed,F,Suburban,Married,P,O1,Agent,Two-Door Car,1,2
California,No,2,College,Employed,M,Rural,Married,C,O4,Agent,Four-Door Car,2,1
Arizona,No,1,High School or Below,Unemployed,F,Suburban,Single,C,O2,Call Center,Luxury,2,3
Nevada,No,1,University,Other,F,Rural,Married,P,O1,Call Center,Two-Door Car,2,3
Washington,No,1,High School or Below,Unemployed,M,Suburban,Single,P,O1,Branch,SUV,2,1
Oregon,No,3,High School or Below,Employed,M,Suburban,Married,P,O4,Call Center,Four-Door Car,2,3
Arizona,No,2,High School or Below,Unemployed,F,Suburban,Married,P,O1,Agent,Luxury,1,3
Washington,No,2,Bachelor,Employed,F,Suburban,Married,P,O2,Agent,SUV,2,2
Oregon,No,1,University,Other,M,Rural,Married,S,O1,Web,Two-Door Car,2,3
Arizona,No,3,College,Employed,M,Suburban,Divorced,C,O1,Branch,Four-Door Car,2,2
Arizona,No,3,High School or Below,Employed,F,Rural,Married,P,O3,Agent,Four-Door Car,2,3
California,No,2,College,Unemployed,M,Suburban,Single,P,O3,Branch,Two-Door Car,2,3
Oregon,No,2,High School or Below,Employed,F,Suburban,Married,P,O2,Branch,Two-Door Car,2,3
Nevada,No,2,College,Unemployed,M,Urban,Single,P,O1,Web,Four-Door Car,2,2
California,No,1,Bachelor,Unemployed,M,Suburban,Married,P,O4,Web,Two-Door Car,2,2
Nevada,No,1,High School or Below,Employed,M,Suburban,Married,P,O1,Agent,Four-Door Car,1,3
Washington,No,1,Bachelor,Employed,M,Suburban,Married,P,O1,Agent,Two-Door Car,2,1
Washington,No,3,Bachelor,Employed,M,Rural,Single,P,O1,Branch,Two-Door Car,2,2
Arizona,No,2,High School or Below,Employed,F,Suburban,Married,P,O2,Call Center,Four-Door Car,2,3
Arizona,No,1,Bachelor,Employed,F,Suburban,Married,C,O1,Call Center,Four-Door Car,2,3
California,No,1,Bachelor,Unemployed,M,Suburban,Single,P,O1,Agent,Four-Door Car,2,2
California,No,1,High School or Below,Unemployed,M,Suburban,Married,P,O1,Agent,Luxury,2,1
Washington,No,1,College,Employed,M,Urban,Married,P,O2,Call Center,Four-Door Car,3,2
Oregon,No,3,Bachelor,Employed,F,Suburban,Married,P,O3,Branch,Four-Door Car,2,1
California,No,2,High School or Below,Employed,M,Urban,Married,P,O4,Agent,Four-Door Car,3,2
Oregon,No,2,University,Employed,M,Rural,Married,P,O1,Branch,Luxury,2,3
